Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,421.50","17,445.80","17,343.95","17,366.55","-84.35","-0.48","1,057.50","8,303.82","18,887.60","15,183.40","4.58","-1.60"
"COALINDIA","218.75","223.70","217.35","223.05","4.30","1.97","58.90","130.49","263.40","164.65","20.70","-1.24"
"HEROMOTOCO","2,443.50","2,469.95","2,440.90","2,463.20","32.10","1.32","1.96","48.26","2,938.60","2,146.85","1.52","-8.85"
"ADANIENT","1,499.90","1,646.00","1,407.90","1,585.00","20.70","1.32","160.08","2,465.38","4,190.00","1,017.45","-3.46","-45.21"
"BPCL","316.70","319.85","314.50","319.20","3.30","1.04","15.45","49.05","398.80","288.05","-6.69","-4.74"
"ADANIPORTS","603.95","617.30","585.60","606.85","4.75","0.79","94.36","572.54","987.85","395.10","-14.56","1.65"
"INDUSINDBK","1,099.95","1,108.20","1,094.25","1,106.70","6.25","0.57","10.64","117.16","1,275.80","763.20","22.11","1.62"
"BAJAJFINSV","1,375.00","1,385.95","1,347.00","1,350.70","6.80","0.51","17.32","236.24","1,844.00","1,072.72","-91.59","0.51"
"LT","2,129.95","2,149.00","2,118.60","2,123.85","8.55","0.40","6.97","148.77","2,297.65","1,456.35","19.02","0.52"
"HCLTECH","1,090.30","1,107.70","1,090.30","1,105.15","4.05","0.37","16.21","177.84","1,215.00","877.35","-0.93","-2.61"
"DRREDDY","4,358.00","4,373.40","4,320.00","4,355.00","10.80","0.25","0.46","20.06","4,625.00","3,654.00","13.02","0.61"
"ULTRACEMCO","7,274.15","7,330.00","7,252.85","7,292.00","17.85","0.25","0.50","36.15","7,492.00","5,157.05","13.95","5.87"
"ICICIBANK","853.00","860.70","851.80","858.10","1.80","0.21","31.19","267.52","958.20","642.15","20.04","4.20"
"SBIN","535.95","539.90","532.60","537.50","0.80","0.15","45.40","243.38","629.55","425.00","13.34","-0.13"
"BRITANNIA","4,390.00","4,400.00","4,343.05","4,382.00","2.20","0.05","0.47","20.44","4,669.20","3,050.00","29.20","-0.56"
"APOLLOHOSP","4,429.00","4,435.90","4,381.35","4,415.00","1.20","0.03","1.10","48.51","5,016.55","3,361.55","-9.18","4.18"
"GRASIM","1,594.00","1,602.00","1,588.00","1,592.25","-1.40","-0.09","0.95","15.09","1,839.50","1,276.60","2.83","-0.40"
"JSWSTEEL","680.15","683.70","675.05","675.90","-0.80","-0.12","4.86","32.99","790.00","520.05","4.86","-3.68"
"DIVISLAB","2,859.00","2,860.55","2,827.35","2,840.00","-5.30","-0.19","0.62","17.58","4,640.80","2,740.10","-31.75","-15.64"
"HDFCBANK","1,594.00","1,605.95","1,591.50","1,594.70","-3.35","-0.21","25.47","406.56","1,722.10","1,271.60","16.04","-1.20"
"ASIANPAINT","2,831.00","2,844.00","2,811.00","2,834.65","-6.25","-0.22","2.00","56.49","3,582.90","2,560.00","-6.41","2.47"
"EICHERMOT","3,155.10","3,158.95","3,097.30","3,131.65","-7.15","-0.23","2.71","84.60","3,864.10","2,159.55","24.86","-1.87"
"KOTAKBANK","1,735.60","1,745.50","1,724.55","1,739.95","-4.95","-0.28","12.85","222.88","1,997.55","1,631.00","-3.66","0.79"
"UPL","713.65","716.00","707.00","711.30","-2.00","-0.28","2.56","18.19","848.00","607.50","3.15","-4.54"
"HINDUNILVR","2,466.25","2,470.00","2,444.00","2,458.95","-7.30","-0.30","1.64","40.28","2,741.60","1,901.55","14.42","-4.25"
"TITAN","2,382.35","2,394.30","2,370.30","2,375.00","-7.40","-0.31","1.25","29.80","2,791.00","1,825.05","-8.39","1.69"
"RELIANCE","2,337.00","2,351.65","2,328.05","2,336.00","-7.90","-0.34","15.82","369.74","2,856.15","2,180.00","-2.61","-1.01"
"HDFC","2,606.50","2,626.95","2,601.40","2,608.75","-9.55","-0.36","3.56","92.95","2,933.80","2,026.00","14.51","-1.49"
"TATASTEEL","106.05","106.90","104.85","105.05","-0.45","-0.43","191.90","203.01","138.67","82.70","-91.85","-11.54"
"TATACONSUM","716.85","718.35","710.05","711.85","-3.40","-0.48","2.19","15.64","861.15","650.20","0.12","-3.24"
"SUNPHARMA","960.00","961.90","952.30","954.05","-5.25","-0.55","1.86","17.81","1,072.15","789.90","16.22","-9.28"
"NESTLEIND","18,799.95","18,800.00","18,615.00","18,654.00","-124.85","-0.66","0.10","18.65","21,050.00","16,000.00","4.54","-2.67"
"NTPC","172.20","172.20","171.00","171.10","-1.15","-0.67","11.93","20.44","181.85","126.90","30.66","1.33"
"WIPRO","388.70","389.85","387.30","388.30","-2.65","-0.68","7.86","30.53","616.00","372.40","-30.06","-3.47"
"ITC","379.50","379.75","374.70","375.85","-2.85","-0.75","18.86","70.98","394.00","212.45","74.57","9.01"
"SBILIFE","1,121.70","1,123.00","1,108.50","1,108.95","-9.20","-0.82","1.36","15.18","1,340.35","1,003.50","-1.09","-10.09"
"POWERGRID","218.00","218.45","216.80","217.00","-1.90","-0.87","106.25","231.51","248.35","186.35","2.89","2.43"
"BAJFINANCE","6,165.20","6,209.60","6,086.00","6,100.00","-54.85","-0.89","2.02","123.71","7,778.00","5,220.00","-10.71","1.30"
"TATAMOTORS","426.00","426.25","421.05","422.20","-3.80","-0.89","17.83","75.38","494.40","366.20","-5.67","-4.83"
